,CVE,DESCRIP
2581,P590,Ictericia neonatal asociada con el parto antes de término
2582,P592,Ictericia neonatal debida a otra lesión hepática especificada y a la no especificada
2583,P599,"Ictericia neonatal, no especificada"
2584,P60X,Coagulación intravascular diseminada en el feto y el recién nacido
2585,P610,Trombocitopenia neonatal transitoria
2586,P611,Policitemia neonatal
2587,P612,Anemia de la prematuridad
2588,P614,"Otras anemias congénitas, no clasificadas en otra parte"
2589,P616,Otros trastornos neonatales transitorios de la coagulación
2590,P618,Otros trastornos hematológicos perinatales especificados
2591,P619,"Trastorno hematológico perinatal, no especificado"
2592,P701,Síndrome del recién nacido de madre diabética
2593,P760,Síndrome del tapón de meconio
2594,P761,Íleo transitorio del recién nacido
2595,P768,Otras obstrucciones intestinales especificadas del recién nacido
2596,P769,"Obstrucción intestinal del recién nacido, no especificada"
2597,P77X,Enterocolitis necrotizante del feto y del recién nacido
2598,P780,Perforación intestinal perinatal
2599,P781,Otras peritonitis neonatales
2600,P783,Diarrea neonatal no infecciosa
2601,P788,Otros trastornos perinatales específicos del sistema digestivo
2602,P789,"Trastorno perinatal del sistema digestivo, no especificado"
2603,P809,"Hipotermia del recién nacido, no especificada"
2604,P810,Hipertermia del recién nacido inducida por las condiciones ambientales
2605,P819,Alteración no especificada de la regulación de la temperatura en el recién nacido
2606,P832,Hidropesía fetal no debida a enfermedad hemolítica
2607,P833,"Otros edemas y los no especificados, propios del feto y del recién nacido"
2608,P90X,Convulsiones del recién nacido
2609,P910,Isquemia cerebral neonatal
2610,P912,Leucomalacia cerebral neonatal
2611,P915,Coma neonatal
2612,P916,Encefalopatía hipóxico-isquémica del recién nacido
2613,P918,Otras alteraciones cerebrales especificadas del recién nacido
2614,P919,Alteración cerebral no especificada del recién nacido
2615,P921,Regurgitación y rumiación del recién nacido
2616,P925,Dificultad neonatal en la lactancia materna
2617,P942,Hipotonía congénita
2618,P960,Insuficiencia renal congénita
2619,P961,Síntomas neonatales de abstinencia por drogadicción materna
2620,P968,Otras afecciones especificadas originadas en el período perinatal
2621,P969,Afección no especificada originada en el período perinatal
2622,Q000,Anencefalia
2623,Q010,Encefalocele frontal
2624,Q012,Encefalocele occipital
2625,Q018,Encefalocele de otros sitios
2626,Q019,"Encefalocele, no especificado"
2627,Q02X,Microcefalia
2628,Q031,Atresia de los agujeros de Magendie y de Luschka
2629,Q038,Otros hidrocéfalos congénitos
2630,Q039,"Hidrocéfalo congénito, no especificado"
2631,Q040,Malformaciones congénitas del cuerpo calloso
2632,Q042,Holoprosencefalia
2633,Q043,Otras anomalías hipoplásicas del encéfalo
2634,Q045,Megalencefalia
2635,Q046,Quistes cerebrales congénitos
2636,Q048,"Otras malformaciones congénitas del encéfalo, especificadas"
2637,Q049,"Malformación congénita del encéfalo, no especificada"
2638,Q051,Espina bífida torácica con hidrocéfalo
2639,Q052,Espina bífida lumbar con hidrocéfalo
2640,Q054,"Espina bífida con hidrocéfalo, sin otra especificación"
2641,Q055,Espina bífida cervical sin hidrocéfalo
2642,Q059,"Espina bífida, no especificada"
2643,Q061,Hipoplasia y displasia de la médula espinal
2644,Q063,Otras anomalías congénitas de la cola de caballo
2645,Q068,Otras malformaciones congénitas especificadas de la médula espinal
2646,Q069,"Malformación congénita de la médula espinal, no especificada"
2647,Q070,Síndrome de Arnold-Chiari
2648,Q078,"Otras malformaciones congénitas del sistema nervioso, especificadas"
2649,Q079,"Otras malformaciones congénitas del sistema nervioso, no especificada"
2650,Q185,Microstomía
2651,Q189,"Malformación congénita de la cara y del cuello, no especificada"
2652,Q200,Tronco arterioso común
2653,Q201,Transposición de los grandes vasos en ventrículo derecho
2654,Q202,Transposición de los grandes vasos en ventrículo izquierdo
2655,Q203,Discordancia de la conexión ventriculoarterial
2656,Q204,Ventrículo con doble entrada
2657,Q205,Discordancia de la conexión auriculoventricular
2658,Q208,Otras malformaciones congénitas de las cámaras cardíacas y sus conexiones
2659,Q209,"Malformación congénita de las cámaras cardíacas y sus conexiones, no especificada"
2660,Q210,Defecto del tabique ventricular
2661,Q211,Defecto del tabique auricular
2662,Q212,Defecto del tabique auriculoventricular
2663,Q213,Tetralogía de Fallot
2664,Q214,Defecto del tabique aortopulmonar
2665,Q218,Otras malformaciones congénitas de los tabiques cardíacos
2666,Q219,"Malformación congénita del tabique cardíaco, no especificada"
2667,Q220,Atresia de la válvula pulmonar
2668,Q221,Estenosis congénita de la válvula pulmonar
2669,Q222,Insuficiencia congénita de la válvula pulmonar
2670,Q223,Otras malformaciones congénitas de la válvula pulmonar
2671,Q224,Estenosis congénita de la válvula tricúspide
2672,Q225,Anomalía de Ebstein
2673,Q226,Síndrome de hipoplasia del corazón derecho
2674,Q228,Otras malformaciones congénitas de la válvula tricúspide
2675,Q229,"Malformación congénita de la válvula tricúspide, no especificada"
2676,Q230,Estenosis congénita de la válvula aórtica
2677,Q231,Insuficiencia congénita de la válvula aórtica
2678,Q232,Estenosis mitral congénita
2679,Q233,Insuficiencia mitral congénita
2680,Q234,Síndrome de hipoplasia del corazón izquierdo
2681,Q238,Otras malformaciones congénitas de las válvulas aórtica y mitral
2682,Q239,"Malformación congénita de las válvulas aórtica y mitral, no especificada"
2683,Q240,Dextrocardia
2684,Q241,Levocardia
2685,Q242,Corazón triauricular
2686,Q243,Estenosis del infundíbulo pulmonar
2687,Q244,Estenosis subaórtica congénita
2688,Q245,Malformación de los vasos coronarios
2689,Q246,Bloqueo cardíaco congénito
2690,Q248,"Otras malformaciones congénitas del corazón, especificadas"
2691,Q249,"Malformación congénita del corazón, no especificada"
2692,Q250,Conducto arterioso persistente
2693,Q251,Coartación de la aorta
2694,Q252,Atresia de la aorta
2695,Q253,Estenosis de la aorta
2696,Q254,Otras malformaciones congénitas de la aorta
2697,Q255,Atresia de la arteria pulmonar
2698,Q256,Estenosis de la arteria pulmonar
2699,Q257,Otras malformaciones congénitas de la arteria pulmonar
2700,Q258,Otras malformaciones congénitas de las grandes arterias
2701,Q259,"Malformación congénita de las grandes arterias, no especificada"
2702,Q262,Conexión anómala total de las venas pulmonares
2703,Q263,Conexión anómala parcial de las venas pulmonares
2704,Q264,"Conexión anómala de las venas pulmonares, sin otra especificación"
2705,Q265,Conexión anómala de la vena porta
2706,Q269,"Malformación congénita de las grandes venas, no especificada"
2707,Q273,Malformación arteriovenosa periférica
2708,Q278,"Otras malformaciones congénitas del sistema vascular periférico, especificadas"
2709,Q279,"Malformación congénita del sistema vascular periférico, no especificada"
2710,Q280,Malformación arteriovenosa de los vasos precerebrales
2711,Q282,Malformación arteriovenosa de los vasos cerebrales
2712,Q283,Otras malformaciones de los vasos cerebrales
2713,Q289,"Malformación congénita del sistema circulatorio, no especificada"
2714,Q300,Atresia de las coanas
2715,Q308,Otras malformaciones congénitas de la nariz
2716,Q309,"Malformación congénita de la nariz, no especificada"
2717,Q311,Estenosis subglótica congénita
2718,Q312,Hipoplasia laríngea
2719,Q315,Laringomalacia congénita
2720,Q318,Otras malformaciones congénitas de la laringe
2721,Q319,"Malformación congénita de la laringe, no especificada"
2722,Q320,Traqueomalacia congénita
2723,Q321,Otras malformaciones congénitas de la tráquea
2724,Q322,Broncomalacia congénita
2725,Q323,Estenosis congénita de los bronquios
2726,Q324,Otras malformaciones congénitas de los bronquios
2727,Q330,Quiste pulmonar congénito
2728,Q333,Agenesia del pulmón
2729,Q334,Bronquiectasia congénita
2730,Q336,Hipoplasia y displasia pulmonar
2731,Q338,Otras malformaciones congénitas del pulmón
2732,Q339,"Malformación congénita del pulmón, no especificada"
2733,Q340,Anomalía de la pleura
2734,Q348,Otras malformaciones congénitas especificadas del sistema respiratorio
2735,Q349,"Malformación congénita del sistema respiratorio, no especificada"
2736,Q359,"Fisura del paladar, sin otra especificación"
2737,Q369,"Labio leporino, unilateral"
2738,Q379,"Fisura del paladar con labio leporino unilateral, sin otra especificación"
2739,Q385,"Malformaciones congénitas del paladar, no clasificadas en otra parte"
2740,Q388,Otras malformaciones congénitas de la faringe
2741,Q390,Atresia del esófago sin mención de fístula
2742,Q391,Atresia del esófago con fístula traqueoesofágica
2743,Q392,Fístula traqueoesofágica congénita sin mención de atresia
2744,Q393,Estrechez o estenosis congénita del esófago
2745,Q396,Divertículo del esófago
2746,Q399,"Malformación congénita del esófago, no especificada"
2747,Q400,Estenosis hipertrófica congénita del píloro
2748,Q401,Hernia hiatal congénita
2749,Q403,"Malformación congénita del estómago, no especificada"
2750,Q409,"Malformación congénita de la parte superior del tubo digestivo, no especificada"
2751,Q410,"Ausencia, atresia y estenosis congénita del duodeno"
2752,Q411,"Ausencia, atresia y estenosis congénita del yeyuno"
2753,Q412,"Ausencia, atresia y estenosis congénita del íleon"
2754,Q419,"Ausencia, atresia y estenosis congénita del intestino delgado, parte no especificada"
2755,Q421,"Ausencia, atresia y estenosis congénita del recto, sin fístula"
2756,Q422,"Ausencia, atresia y estenosis congénita del ano, con fístula"
2757,Q423,"Ausencia, atresia y estenosis congénita del ano, sin fístula"
2758,Q429,"Ausencia, atresia y estenosis congénita del intestino grueso, parte no especificada"
2759,Q430,Divertículo de Meckel
2760,Q431,Enfermedad de Hirschsprung
2761,Q433,Malformaciones congénitas de la fijación del intestino
2762,Q434,Duplicación del intestino
2763,Q437,Persistencia de la cloaca
2764,Q438,"Otras malformaciones congénitas del intestino, especificadas"
2765,Q439,"Malformación congénita del intestino, no especificada"
2766,Q441,Otras malformaciones congénitas de la vesícula biliar
2767,Q442,Atresia de los conductos biliares
2768,Q443,Estrechez y estenosis congénita de los conductos biliares
2769,Q444,Quiste del colédoco
2770,Q445,Otras malformaciones congénitas de los conductos biliares
2771,Q446,Enfermedad quística del hígado
2772,Q447,Otras malformaciones congénitas del hígado
2773,Q451,Páncreas anular
2774,Q458,"Otras malformaciones congénitas del sistema digestivo, especificadas"
2775,Q459,"Malformación congénita del sistema digestivo, no especificada"
2776,Q518,Otras malformaciones congénitas del útero y del cuello uterino
2777,Q520,Ausencia congénita de la vagina
2778,Q528,"Otras malformaciones congénitas de los órganos genitales femeninos, especificadas"
2779,Q532,"Testículo no descendido, bilateral"
2780,Q539,"Testículo no descendido, sin otra especificación"
2781,Q554,"Otras malformaciones congénitas de los conductos deferentes, del epidídimo, de las vesículas seminales y de la próstata"
2782,Q600,"Agenesia renal, unilateral"
2783,Q601,"Agenesia renal, bilateral"
2784,Q602,"Agenesia renal, sin otra especificación"
2785,Q603,"Hipoplasia renal, unilateral"
2786,Q604,"Hipoplasia renal, bilateral"
2787,Q605,"Hipoplasia renal, no especificada"
2788,Q606,Síndrome de Potter
2789,Q610,Quiste renal solitario congénito
2790,Q612,"Riñón poliquístico, autosómico dominante"
2791,Q613,"Riñón poliquístico, tipo no especificado"
2792,Q614,Displasia renal
2793,Q618,Otras enfermedades renales quísticas
2794,Q619,"Enfermedad quística del riñón, no especificada"
2795,Q620,Hidronefrosis congénita
2796,Q627,Reflujo vésico-urétero-renal congénito
2797,Q631,"Riñón lobulado, fusionado y en herradura"
2798,Q633,Hiperplasia renal y riñón gigante
2799,Q638,"Otras malformaciones congénitas del riñón, especificadas"
2800,Q639,"Malformación congénita del riñón, no especificada"
2801,Q641,Extrofia de la vejiga urinaria
2802,Q642,Válvulas uretrales posteriores congénitas
2803,Q643,Otras atresias y estenosis de la uretra y del cuello de la vejiga
2804,Q644,Malformación del uraco
2805,Q647,Otras malformaciones congénitas de la vejiga y de la uretra
2806,Q649,"Malformación congénita del aparato urinario, no especificada"
2807,Q672,Dolicocefalia
2808,Q675,Deformidad congénita de la columna vertebral
2809,Q688,"Otras deformidades congénitas osteomusculares, especificadas"
2810,Q699,"Polidactilia, no especificada"
2811,Q714,Defecto por reducción longitudinal del radio
2812,Q743,Artrogriposis múltiple congénita
2813,Q749,"Malformación congénita de miembro(s), no especificada"
2814,Q750,Craneosinostosis
2815,Q751,Disostosis craneofacial
2816,Q753,Macrocefalia
2817,Q759,Malformación congénita no especificada de los huesos del cráneo y de la cara
2818,Q762,Espondilolistesis congénita
2819,Q764,"Otra malformación congénita de la columna vertebral, no asociada con escoliosis"
2820,Q769,"Malformación congénita del tórax óseo, no especificada"
2821,Q770,Acondrogénesis
2822,Q771,Enanismo tanatofórico
2823,Q772,Síndrome de costilla corta
2824,Q774,Acondroplasia
2825,Q776,Displasia condroectodérmica
2826,Q779,"Osteocondrodisplasia con defectos del crecimiento de los huesos largos y de la columna vertebral, sin otra especificación"
2827,Q780,Osteogénesis imperfecta
2828,Q782,Osteopetrosis
2829,Q788,Otras osteocondrodisplasias especificadas
2830,Q789,"Osteocondrodisplasia, no especificada"
2831,Q790,Hernia diafragmática congénita
2832,Q791,Otras malformaciones congénitas del diafragma
2833,Q792,Exónfalos
2834,Q793,Gastrosquisis
2835,Q794,Síndrome del abdomen en ciruela pasa
2836,Q795,Otras malformaciones congénitas de la pared abdominal
2837,Q798,Otras malformaciones congénitas del sistema osteomuscular
2838,Q799,"Malformación congénita del sistema osteomuscular, no especificada"
2839,Q802,Ictiosis lamelar
2840,Q804,Feto Arlequín
2841,Q809,"Ictiosis congénita, no especificada"
2842,Q819,"Epidermólisis bullosa, no especificada"
2843,Q828,"Otras malformaciones congénitas de la piel, especificadas"
2844,Q850,Neurofibromatosis (no maligna)
2845,Q851,Esclerosis tuberosa
2846,Q858,"Otras facomatosis, no clasificadas en otra parte"
2847,Q859,"Facomatosis, no especificada"
2848,Q862,Dismorfismo debido a warfarina
2849,Q870,Síndromes de malformaciones congénitas que afectan principalmente la apariencia facial
2850,Q871,Síndromes de malformaciones congénitas asociadas principalmente con estatura baja
2851,Q872,Síndromes de malformaciones congénitas que afectan principalmente los miembros
2852,Q873,Síndromes de malformaciones congénitas con exceso de crecimiento precoz
2853,Q874,Síndrome de Marfan
2854,Q878,"Otros síndromes de malformaciones congénitas especificados, no clasificados en otra parte"
2855,Q890,Malformaciones congénitas del bazo
2856,Q891,Malformaciones congénitas de la glándula suprarrenal
2857,Q893,Situs inversus
2858,Q897,"Malformaciones congénitas múltiples, no clasificadas en otra parte"
2859,Q898,"Otras malformaciones congénitas, especificadas"
2860,Q899,"Malformación congénita, no especificada"
2861,Q900,"Trisomía 21, por falta de disyunción meiótica"
2862,Q902,"Trisomía 21, por translocación"
2863,Q909,"Síndrome de Down, no especificado"
2864,Q910,"Trisomía 18, por falta de disyunción meiótica"
2865,Q911,"Trisomía 18, mosaico (por falta de disyunción mitótica)"
2866,Q912,"Trisomía 18, por translocación"
2867,Q913,"Síndrome de Edwards, no especificado"
2868,Q914,"Trisomía 13, por falta de disyunción meiótica"
2869,Q916,"Trisomía 13, por translocación"
2870,Q917,"Síndrome de Patau, no especificado"
2871,Q928,"Otras trisomías y trisomías parciales de los autosomas, especificadas"
2872,Q933,Supresión del brazo corto del cromosoma 4
2873,Q934,Supresión del brazo corto del cromosoma 5
2874,Q935,Otras supresiones de parte de un cromosoma
2875,Q938,Otras supresiones de los autosomas
2876,Q969,"Síndrome de Turner, no especificado"
2877,Q984,"Síndrome de Klinefelter, no especificado"
2878,Q992,Cromosoma X frágil
2879,Q998,"Otras anomalías de los cromosomas, especificadas"
2880,Q999,"Anomalía cromosómica, no especificada"
2881,R000,"Taquicardia, no especificada"
2882,R001,"Bradicardia, no especificada"
2883,R011,"Soplo cardíaco, no especificado"
2884,R02X,"Gangrena, no clasificada en otra parte"
2885,R040,Epistaxis
2886,R042,Hemoptisis
2887,R048,Hemorragia de otros sitios de las vías respiratorias
2888,R049,"Hemorragia de las vías respiratorias, no especificada"
2889,R05X,Tos
2890,R060,Disnea
2891,R066,Hipo
2892,R068,Otras anormalidades de la respiración y las no especificadas
2893,R072,Dolor precordial
2894,R074,"Dolor en el pecho, no especificado"
2895,R090,Asfixia
2896,R091,Pleuresía
2897,R092,Paro respiratorio
2898,R100,Abdomen agudo
2899,R101,Dolor abdominal localizado en parte superior
2900,R104,Otros dolores abdominales y los no especificados
2901,R11X,Náusea y vómito
2902,R160,"Hepatomegalia, no clasificada en otra parte"
2903,R17X,Ictericia no especificada
2904,R18X,Ascitis
2905,R190,"Tumefacción, masa o prominencia intraabdominal y pélvica"
2906,R198,Otros síntomas y signos especificados que involucran el sistema digestivo y el abdomen
2907,R220,"Tumefacción, masa o prominencia localizada en la cabeza"
2908,R229,"Tumefacción, masa o prominencia localizada en parte no especificada"
2909,R262,"Dificultad para caminar, no clasificada en otra parte"
2910,R263,Inmovilidad
2911,R268,Otras anormalidades de la marcha y de la movilidad y las no especificadas
2912,R298,Otros síntomas y signos que involucran los sistemas nervioso y osteomuscular y los no especificados
2913,R31X,"Hematuria, no especificada"
2914,R391,Otras dificultades de la micción
2915,R398,Otros síntomas y signos que involucran el sistema urinario y los no especificados
2916,R402,"Coma, no especificado"
2917,R418,Otros síntomas y signos que involucran la función cognoscitiva y la conciencia y los no especificados
2918,R470,Disfasia y afasia
2919,R509,"Fiebre, no especificada"
2920,R51X,Cefalea
2921,R529,"Dolor, no especificado"
2922,R53X,Malestar y fatiga
2923,R54X,Senilidad
2924,R55X,Síncope y colapso
2925,R560,Convulsiones febriles
2926,R568,Otras convulsiones y las no especificadas
2927,R570,Choque cardiogénico
2928,R571,Choque hipovolémico
2929,R578,Otras formas de choque
2930,R579,"Choque, no especificado"
2931,R58X,"Hemorragia, no clasificada en otra parte"
2932,R590,Adenomegalia localizada
2933,R600,Edema localizado
2934,R601,Edema generalizado
2935,R609,"Edema, no especificado"
2936,R610,Hiperhidrosis localizada
2937,R620,Retardo del desarrollo
2938,R630,Anorexia
2939,R634,Pérdida anormal de peso
2940,R635,Aumento anormal de peso
2941,R64X,Caquexia
2942,R652,"Síndrome de respuesta inflamatoria sistémica de origen no infeccioso, sin falla orgánica"
2943,R653,"Síndrome de respuesta inflamatoria sistémica de origen no infeccioso, con falla orgánica"
2944,R659,"Síndrome de respuesta inflamatoria sistémica , no especificado"
2945,R680,Hipotermia no asociada con baja temperatura del ambiente
2946,R688,Otros síntomas y signos generales especificados
2947,R739,"Hiperglicemia, no especificada"
2948,R75X,Evidencias de laboratorio del virus de la inmunodeficiencia humana [VIH]
2949,R798,Otros hallazgos anormales especificados en la química sanguínea
2950,R829,Otros hallazgos anormales en la orina y los no especificados
2951,R950,"Síndrome de la muerte súbita infantil, con mención de autopsia"
2952,R959,"Síndrome de la muerte súbita infantil, sin mención de autopsia"
2953,R960,Muerte instantánea
2954,R961,"Muerte que ocurre en menos de 24 horas del inicio de los síntomas, no explicada de otra forma"
2955,R98X,Muerte sin asistencia
2956,R99X,Otras causas mal definidas y las no especificadas de mortalidad
2957,U071,"COVID-19, virus identificado"
2958,U072,"COVID-19, virus no identificado"
2959,U109,"Síndrome inflamatorio multisistémico asociado con la COVID-19, no especificada"
2960,V011,Peatón lesionado por colisión con vehículo de pedal en accidente de tránsito
2961,V021,Peatón lesionado por colisión con vehículo de motor de dos o tres ruedas en accidente de tránsito
2962,V029,Peatón lesionado por colisión con vehículo de motor de dos o tres ruedas en accidente no especificado como de tránsito o no de tránsito
2963,V030,"Peatón lesionado por colisión con automóvil, camioneta o furgoneta en accidente no de tránsito"
2964,V031,"Peatón lesionado por colisión con automóvil, camioneta o furgoneta en accidente de tránsito"
2965,V039,"Peatón lesionado por colisión con automóvil, camioneta o furgoneta en accidente no especificado como de tránsito o no de tránsito"
2966,V040,Peatón lesionado por colisión con vehículo de transporte pesado o autobús en accidente no de tránsito
2967,V041,Peatón lesionado por colisión con vehículo de transporte pesado o autobús en accidente de tránsito
2968,V049,Peatón lesionado por colisión con vehículo de transporte pesado o autobús en accidente no especificado como de tránsito o no de tránsito
2969,V051,Peatón lesionado por colisión con tren o vehículo de rieles en accidente de tránsito
2970,V059,Peatón lesionado por colisión con tren o vehículo de rieles en accidente no especificado como de tránsito o no de tránsito
2971,V090,"Peatón lesionado en accidente no de tránsito que involucra otros vehículos de motor, y los no especificados"
2972,V091,Peatón lesionado en accidente no de tránsito no especificado
2973,V092,"Peatón lesionado en accidente de tránsito que involucra otros vehículos de motor, y los no especificados"
2974,V093,Peatón lesionado en accidente de tránsito no especificado
2975,V099,Peatón lesionado en accidente de transporte no especificado
2976,V119,"Ciclista no especificado, lesionado por colisión con otro ciclista en accidente de tránsito"
2977,V124,Conductor ciclista lesionado por colisión con vehículo de motor de dos o tres ruedas en accidente de tránsito
2978,V129,"Ciclista no especificado, lesionado por colisión con vehículo de motor de dos o tres ruedas en accidente de tránsito"
2979,V134,"Conductor ciclista lesionado por colisión con automóvil, camioneta o furgoneta en accidente de tránsito"
2980,V139,"Ciclista no especificado, lesionado por colisión con automóvil, camioneta o furgoneta en accidente de tránsito"
2981,V144,Conductor ciclista lesionado por colisión con vehículo de transporte pesado o autobús en accidente de tránsito
2982,V149,"Ciclista no especificado, lesionado por colisión con vehículo de transporte pesado o autobús en accidente de tránsito"
2983,V170,Conductor ciclista lesionado por colisión con objeto estacionado o fijo en accidente no de tránsito
2984,V179,"Ciclista no especificado, lesionado por colisión con objeto estacionado o fijo en accidente de tránsito"
2985,V180,Conductor ciclista lesionado en accidente de transporte sin colisión en accidente no de tránsito
2986,V182,"Ciclista no especificado, lesionado en accidente de transporte sin colisión en accidente no de tránsito"
2987,V184,Conductor ciclista lesionado en accidente de transporte sin colisión en accidente de tránsito
2988,V185,Pasajero ciclista lesionado en accidente de transporte sin colisión en accidente de tránsito
2989,V189,"Ciclista no especificado, lesionado en accidente de transporte sin colisión en accidente de tránsito"
2990,V194,"Conductor de vehículo de pedal lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente de tránsito"
2991,V196,"Ciclista no especificado de vehículo de pedal lesionado por colisión con otros vehículos de motor, y con los no especificado, en accidente de tránsito"
2992,V198,Ciclista (cualquiera) lesionado en otros accidentes de transporte especificados
2993,V199,Ciclista (cualquiera) lesionado en accidente de tránsito no especificado
2994,V200,Conductor motociclista lesionado por colisión con peatón o animal en accidente no de tránsito
2995,V204,Conductor motociclista lesionado por colisión con peatón o animal en accidente de tránsito
2996,V205,Pasajero motociclista lesionado por colisión con peatón o animal en accidente de tránsito
2997,V209,"Motociclista no especificado, lesionado por colisión con peatón o animal en accidente de tránsito"
2998,V219,"Motociclista no especificado, lesionado por colisión con vehículo de pedal en accidente de tránsito"
2999,V224,Conductor motociclista lesionado por colisión con vehículo de motor de dos o tres ruedas en accidente de tránsito
3000,V225,Pasajero motociclista lesionado por colisión con vehículo de motor de dos o tres ruedas en accidente de tránsito
3001,V229,"Motociclista no especificado, lesionado por colisión con vehículo de motor de dos o tres ruedas en accidente de tránsito"
3002,V230,"Conductor motociclista lesionado por colisión con automóvil, camioneta o furgoneta en accidente no de tránsito"
3003,V234,"Conductor motociclista lesionado por colisión con automóvil, camioneta o furgoneta en accidente de tránsito"
3004,V235,"Pasajero motociclista lesionado por colisión con automóvil, camioneta o furgoneta en accidente de tránsito"
3005,V239,"Motociclista no especificado, lesionado por colisión con automóvil, camioneta o furgoneta, motociclista no especificado, lesión en accidente de tránsito"
3006,V244,Conductor motociclista lesionado por colisión con vehículo de transporte pesado o autobús en accidente de tránsito
3007,V245,Pasajero motociclista lesionado por colisión con vehículo de transporte pesado o autobús en accidente de tránsito
3008,V249,"Motociclista no especificado, lesionado por colisión con vehículo de transporte pesado o autobús en accidente de tránsito"
3009,V264,Conductor motociclista lesionado por colisión con otros vehículos sin motor en accidente de tránsito
3010,V269,"Motociclista no especificado, lesionado por colisión con otros vehículos sin motor en accidente de tránsito"
3011,V274,Conductor motociclista lesionado por colisión con objeto fijo o estacionado en accidente de tránsito
3012,V275,Pasajero motociclista lesionado por colisión con objeto fijo o estacionado en accidente de tránsito
3013,V279,"Motociclista no especificado, lesionado por colisión con objeto fijo o estacionado en accidente de tránsito"
3014,V280,Conductor motociclista lesionado en accidente de transporte sin colisión en accidente no de tránsito
3015,V281,Pasajero motociclista lesionado en accidente de transporte sin colisión en accidente no de tránsito
3016,V282,"Motociclista no especificado, lesionado en accidente de transporte sin colisión en accidente no de tránsito"
3017,V284,Conductor motociclista lesionado en accidente de transporte sin colisión en accidente de tránsito
3018,V285,Pasajero motociclista lesionado en accidente de transporte sin colisión en accidente de tránsito
3019,V289,"Motociclista no especificado, lesionado en accidente de transporte sin colisión en accidente de tránsito"
3020,V291,"Pasajero de motocicleta lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente no de tránsito"
3021,V292,"Motociclista no especificado de motocicleta lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente no de tránsito"
3022,V293,"Motociclista (cualquiera) lesionado en accidente no de tránsito, no especificado"
3023,V294,"Conductor de motocicleta lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente de tránsito"
3024,V295,"Pasajero de motocicleta lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente de tránsito"
3025,V296,"Motociclista no especificado de motocicleta lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente de tránsito"
3026,V298,Motociclista (cualquiera) lesionado en otros accidentes de transporte especificados
3027,V299,Motociclista (cualquiera) lesionado en accidente de tránsito no especificado
3028,V335,"Conductor de vehículo de motor de tres ruedas lesionado por colisión con automóvil, camioneta o furgoneta en accidente de tránsito"
3029,V336,"Pasajero de vehículo de motor de tres ruedas lesionado por colisión con automóvil, camioneta o furgoneta en accidente de tránsito"
3030,V385,Conductor de vehículo de motor de tres ruedas lesionado en accidente de transporte sin colisión de tránsito
3031,V389,Ocupante no especificado de vehículo de motor de tres ruedas lesionado en accidente de transporte sin colisión de tránsito
3032,V394,"Conductor de vehículo de motor de tres ruedas lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente de tránsito"
3033,V395,"Pasajero de vehículo de motor de tres ruedas lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente de tránsito"
3034,V405,Conductor de automóvil lesionado por colisión con peatón o animal en accidente de tránsito
3035,V409,Ocupante no especificado de automóvil lesionado por colisión con peatón o animal en accidente de tránsito
3036,V435,"Conductor de automóvil lesionado por colisión con automóvil, camioneta o furgoneta en accidente de tránsito"
3037,V436,"Pasajero de automóvil lesionado por colisión con automóvil, camioneta o furgoneta en accidente de tránsito"
3038,V439,"Ocupante no especificado de automóvil lesionado por colisión con automóvil, camioneta o furgoneta en accidente de tránsito"
3039,V445,Conductor de automóvil lesionado por colisión con vehículo de transporte pesado o autobús  en accidente de tránsito
3040,V446,Pasajero de automóvil lesionado por colisión con vehículo de transporte pesado o autobús  en accidente de tránsito
3041,V449,Ocupante no especificado de automóvil lesionado por colisión con vehículo de transporte pesado o autobús en  accidente de tránsito
3042,V455,Conductor de automóvil lesionado por colisión con tren o vehículo de rieles en accidente de tránsito
3043,V456,Pasajero de automóvil lesionado por colisión con tren o vehículo de rieles en accidente de tránsito
3044,V474,Persona lesionada al subir o bajar del automóvil por  colisión con objeto fijo o estacionado
3045,V475,Conductor de automóvil lesionado  por  colisión con objeto fijo o estacionado en accidente de tránsito
3046,V476,Pasajero de automóvil lesionado  por  colisión con objeto fijo o estacionado en accidente de tránsito
3047,V479,Ocupante no especificado de automóvil lesionado  por  colisión con objeto fijo o estacionado en accidente de tránsito
3048,V485,Conductor de automóvil lesionado en accidente de transporte sin colisión de tránsito
3049,V486,Pasajero de automóvil lesionado en accidente de transporte sin colisión de tránsito
3050,V489,Ocupante no especificado de automóvil lesionado en accidente de transporte sin colisión de tránsito
3051,V491,"Pasajero de automóvil lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente no de tránsito"
3052,V494,"Conductor de automóvil lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente de tránsito"
3053,V495,"Pasajero de automóvil lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente de tránsito"
3054,V496,"Ocupante no especificado de automóvil lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente de tránsito"
